Id,Country/Region,Lat,Long,Date,ConfirmedCases,Fatalities
1,Afghanistan,33.0,65.0,2020-01-22,0.0,0.0
2,Afghanistan,33.0,65.0,2020-01-23,0.0,0.0
3,Afghanistan,33.0,65.0,2020-01-24,0.0,0.0
4,Afghanistan,33.0,65.0,2020-01-25,0.0,0.0
5,Afghanistan,33.0,65.0,2020-01-26,0.0,0.0
6,Afghanistan,33.0,65.0,2020-01-27,0.0,0.0
7,Afghanistan,33.0,65.0,2020-01-28,0.0,0.0
8,Afghanistan,33.0,65.0,2020-01-29,0.0,0.0
9,Afghanistan,33.0,65.0,2020-01-30,0.0,0.0
10,Afghanistan,33.0,65.0,2020-01-31,0.0,0.0
11,Afghanistan,33.0,65.0,2020-02-01,0.0,0.0
12,Afghanistan,33.0,65.0,2020-02-02,0.0,0.0
13,Afghanistan,33.0,65.0,2020-02-03,0.0,0.0
14,Afghanistan,33.0,65.0,2020-02-04,0.0,0.0
15,Afghanistan,33.0,65.0,2020-02-05,0.0,0.0
16,Afghanistan,33.0,65.0,2020-02-06,0.0,0.0
17,Afghanistan,33.0,65.0,2020-02-07,0.0,0.0
18,Afghanistan,33.0,65.0,2020-02-08,0.0,0.0
19,Afghanistan,33.0,65.0,2020-02-09,0.0,0.0
20,Afghanistan,33.0,65.0,2020-02-10,0.0,0.0
21,Afghanistan,33.0,65.0,2020-02-11,0.0,0.0
22,Afghanistan,33.0,65.0,2020-02-12,0.0,0.0
23,Afghanistan,33.0,65.0,2020-02-13,0.0,0.0
24,Afghanistan,33.0,65.0,2020-02-14,0.0,0.0
25,Afghanistan,33.0,65.0,2020-02-15,0.0,0.0
26,Afghanistan,33.0,65.0,2020-02-16,0.0,0.0
27,Afghanistan,33.0,65.0,2020-02-17,0.0,0.0
28,Afghanistan,33.0,65.0,2020-02-18,0.0,0.0
29,Afghanistan,33.0,65.0,2020-02-19,0.0,0.0
30,Afghanistan,33.0,65.0,2020-02-20,0.0,0.0
31,Afghanistan,33.0,65.0,2020-02-21,0.0,0.0
32,Afghanistan,33.0,65.0,2020-02-22,0.0,0.0
33,Afghanistan,33.0,65.0,2020-02-23,0.0,0.0
34,Afghanistan,33.0,65.0,2020-02-24,1.0,0.0
35,Afghanistan,33.0,65.0,2020-02-25,1.0,0.0
36,Afghanistan,33.0,65.0,2020-02-26,1.0,0.0
37,Afghanistan,33.0,65.0,2020-02-27,1.0,0.0
38,Afghanistan,33.0,65.0,2020-02-28,1.0,0.0
39,Afghanistan,33.0,65.0,2020-02-29,1.0,0.0
40,Afghanistan,33.0,65.0,2020-03-01,1.0,0.0
41,Afghanistan,33.0,65.0,2020-03-02,1.0,0.0
42,Afghanistan,33.0,65.0,2020-03-03,1.0,0.0
43,Afghanistan,33.0,65.0,2020-03-04,1.0,0.0
44,Afghanistan,33.0,65.0,2020-03-05,1.0,0.0
45,Afghanistan,33.0,65.0,2020-03-06,1.0,0.0
46,Afghanistan,33.0,65.0,2020-03-07,1.0,0.0
47,Afghanistan,33.0,65.0,2020-03-08,4.0,0.0
48,Afghanistan,33.0,65.0,2020-03-09,4.0,0.0
49,Afghanistan,33.0,65.0,2020-03-10,5.0,0.0
50,Afghanistan,33.0,65.0,2020-03-11,7.0,0.0
51,Afghanistan,33.0,65.0,2020-03-12,7.0,0.0
52,Afghanistan,33.0,65.0,2020-03-13,7.0,0.0
53,Afghanistan,33.0,65.0,2020-03-14,11.0,0.0
54,Afghanistan,33.0,65.0,2020-03-15,16.0,0.0
55,Afghanistan,33.0,65.0,2020-03-16,21.0,0.0
56,Afghanistan,33.0,65.0,2020-03-17,22.0,0.0
57,Afghanistan,33.0,65.0,2020-03-18,22.0,0.0
58,Afghanistan,33.0,65.0,2020-03-19,22.0,0.0
59,Afghanistan,33.0,65.0,2020-03-20,24.0,0.0
60,Afghanistan,33.0,65.0,2020-03-21,24.0,0.0
94,Albania,41.1533,20.1683,2020-01-22,0.0,0.0
95,Albania,41.1533,20.1683,2020-01-23,0.0,0.0
96,Albania,41.1533,20.1683,2020-01-24,0.0,0.0
97,Albania,41.1533,20.1683,2020-01-25,0.0,0.0
98,Albania,41.1533,20.1683,2020-01-26,0.0,0.0
99,Albania,41.1533,20.1683,2020-01-27,0.0,0.0
100,Albania,41.1533,20.1683,2020-01-28,0.0,0.0
101,Albania,41.1533,20.1683,2020-01-29,0.0,0.0
102,Albania,41.1533,20.1683,2020-01-30,0.0,0.0
103,Albania,41.1533,20.1683,2020-01-31,0.0,0.0
104,Albania,41.1533,20.1683,2020-02-01,0.0,0.0
105,Albania,41.1533,20.1683,2020-02-02,0.0,0.0
106,Albania,41.1533,20.1683,2020-02-03,0.0,0.0
107,Albania,41.1533,20.1683,2020-02-04,0.0,0.0
108,Albania,41.1533,20.1683,2020-02-05,0.0,0.0
109,Albania,41.1533,20.1683,2020-02-06,0.0,0.0
110,Albania,41.1533,20.1683,2020-02-07,0.0,0.0
111,Albania,41.1533,20.1683,2020-02-08,0.0,0.0
112,Albania,41.1533,20.1683,2020-02-09,0.0,0.0
113,Albania,41.1533,20.1683,2020-02-10,0.0,0.0
114,Albania,41.1533,20.1683,2020-02-11,0.0,0.0
115,Albania,41.1533,20.1683,2020-02-12,0.0,0.0
116,Albania,41.1533,20.1683,2020-02-13,0.0,0.0
117,Albania,41.1533,20.1683,2020-02-14,0.0,0.0
118,Albania,41.1533,20.1683,2020-02-15,0.0,0.0
119,Albania,41.1533,20.1683,2020-02-16,0.0,0.0
120,Albania,41.1533,20.1683,2020-02-17,0.0,0.0
121,Albania,41.1533,20.1683,2020-02-18,0.0,0.0
122,Albania,41.1533,20.1683,2020-02-19,0.0,0.0
123,Albania,41.1533,20.1683,2020-02-20,0.0,0.0
124,Albania,41.1533,20.1683,2020-02-21,0.0,0.0
125,Albania,41.1533,20.1683,2020-02-22,0.0,0.0
126,Albania,41.1533,20.1683,2020-02-23,0.0,0.0
127,Albania,41.1533,20.1683,2020-02-24,0.0,0.0
128,Albania,41.1533,20.1683,2020-02-25,0.0,0.0
129,Albania,41.1533,20.1683,2020-02-26,0.0,0.0
130,Albania,41.1533,20.1683,2020-02-27,0.0,0.0
131,Albania,41.1533,20.1683,2020-02-28,0.0,0.0
132,Albania,41.1533,20.1683,2020-02-29,0.0,0.0
133,Albania,41.1533,20.1683,2020-03-01,0.0,0.0
134,Albania,41.1533,20.1683,2020-03-02,0.0,0.0
135,Albania,41.1533,20.1683,2020-03-03,0.0,0.0
136,Albania,41.1533,20.1683,2020-03-04,0.0,0.0
137,Albania,41.1533,20.1683,2020-03-05,0.0,0.0
138,Albania,41.1533,20.1683,2020-03-06,0.0,0.0
139,Albania,41.1533,20.1683,2020-03-07,0.0,0.0
140,Albania,41.1533,20.1683,2020-03-08,0.0,0.0
141,Albania,41.1533,20.1683,2020-03-09,2.0,0.0
142,Albania,41.1533,20.1683,2020-03-10,10.0,0.0
143,Albania,41.1533,20.1683,2020-03-11,12.0,1.0
144,Albania,41.1533,20.1683,2020-03-12,23.0,1.0
145,Albania,41.1533,20.1683,2020-03-13,33.0,1.0
146,Albania,41.1533,20.1683,2020-03-14,38.0,1.0
